code,term
D00,"Carcinoma in situ of oral cavity, oesophagus and stomach"
D00.0,"Carcinoma in situ: Lip, oral cavity and pharynx"
D00.1,Carcinoma in situ: Oesophagus
D00.2,Carcinoma in situ: Stomach
D01,Carcinoma in situ of other and unspecified digestive organs
D01.0,Carcinoma in situ: Colon
D01.1,Carcinoma in situ: Rectosigmoid junction
D01.2,Carcinoma in situ: Rectum
D01.3,Carcinoma in situ: Anus and anal canal
D01.4,Carcinoma in situ: Other and unspecified parts of intestine
D01.5,"Carcinoma in situ: Liver, gallbladder and bile ducts"
D01.7,Carcinoma in situ: Other specified digestive organs
D01.9,"Carcinoma in situ: Digestive organ, unspecified"
D02,Carcinoma in situ of middle ear and respiratory system
D02.0,Carcinoma in situ: Larynx
D02.1,Carcinoma in situ: Trachea
D02.2,Carcinoma in situ: Bronchus and lung
D02.3,Carcinoma in situ: Other parts of respiratory system
D02.4,"Carcinoma in situ: Respiratory system, unspecified"
D03,Melanoma in situ
D03.0,Melanoma in situ of lip
D03.1,"Melanoma in situ of eyelid, including canthus"
D03.2,Melanoma in situ of ear and external auricular canal
D03.3,Melanoma in situ of other and unspecified parts of face
D03.4,Melanoma in situ of scalp and neck
D03.5,Melanoma in situ of trunk
D03.6,"Melanoma in situ of upper limb, including shoulder"
D03.7,"Melanoma in situ of lower limb, including hip"
D03.8,Melanoma in situ of other sites
D03.9,"Melanoma in situ, unspecified"
D04,Carcinoma in situ of skin
D04.0,Carcinoma in situ: Skin of lip
D04.1,"Carcinoma in situ: Skin of eyelid, including canthus"
D04.2,Carcinoma in situ: Skin of ear and external auricular canal
D04.3,Carcinoma in situ: Skin of other and unspecified parts of face
D04.4,Carcinoma in situ: Skin of scalp and neck
D04.5,Carcinoma in situ: Skin of trunk
D04.6,"Carcinoma in situ: Skin of upper limb, including shoulder"
D04.7,"Carcinoma in situ: Skin of lower limb, including hip"
D04.8,Carcinoma in situ: Skin of other sites
D04.9,"Carcinoma in situ: Skin, unspecified"
D05,Carcinoma in situ of breast
D05.0,Lobular carcinoma in situ
D05.1,Intraductal carcinoma in situ
D05.7,Other carcinoma in situ of breast
